person_tmdbId,bio,born,bornIn,died,person_imdbId,name,person_poster,person_url
192,"Morgan Porterfield Freeman, Jr.  is an American actor, film director, and narrator.  He is noted for his reserved demeanor and authoritative speaking voice.  Freeman has received Academy Award nominations for his performances in Street Smart, Driving Miss Daisy, The Shawshank Redemption and Invictus and won in 2005 for Million Dollar Baby.  He has also won a Golden Globe Award and a Screen Actors Guild Award...",1937-06-01,"Memphis, Tennessee, USA",,151,Morgan Freeman,https://image.tmdb.org/t/p/w440_and_h660_face/oIciQWr8VwKoR8TmAw1owaiZFyb.jpg,https://themoviedb.org/person/192
193,"Eugene Allen ""Gene"" Hackman (born January 30, 1930) is a retired American actor and novelist. 

Nominated for five Academy Awards, winning two, Hackman has also won three Golden Globes and two BAFTAs in a career that spanned four decades.  He first came to fame in 1967 with his performance as Buck Barrow in Bonnie and Clyde...",1930-01-30,"San Bernardino, California, USA",,432,Gene Hackman,https://image.tmdb.org/t/p/w440_and_h660_face/xPmETCv0APDoIK5CvIIJwbTcjPA.jpg,https://themoviedb.org/person/193
194,"Richard St.  John Harris was an Irish actor, singer-songwriter, theatrical producer, film director and writer.  He appeared on stage and in many films, and is perhaps best known for his roles as King Arthur in Camelot (1967), as Oliver Cromwell in Cromwell (1970) and as Albus Dumbledore in Harry Potter and the Philosopher's Stone (2001) and Harry Potter and the Chamber of Secrets (2002), his last film...",1930-10-01,"Limerick City, Munster, Ireland",2002-10-25,1321,Richard Harris,https://image.tmdb.org/t/p/w440_and_h660_face/51wDHVFNqrYgvUBMOcACAt4sJU9.jpg,https://themoviedb.org/person/194
204,"Kate Elizabeth Winslet (born 5 October 1975) is an English actress and occasional singer.  She has received multiple awards and nominations.  She is the youngest person to accrue six Academy Award nominations, and won the Academy Award for Best Actress for The Reader (2008). 

Winslet has been acclaimed for both dramatic and comedic work in projects ranging from period to contemporary films, and from major Hollywood productions to less publicised indie films...",1975-10-05,"Reading, Berkshire, England, UK",,701,Kate Winslet,https://image.tmdb.org/t/p/w440_and_h660_face/e3tdop3WhseRnn8KwMVLAV25Ybv.jpg,https://themoviedb.org/person/204
205,"Kirsten Caroline Dunst (born April 30, 1982) is an American actress, singer and model.  She made her film debut in Oedipus Wrecks, a short film directed by Woody Allen for the anthology New York Stories (1989).  At the age of 12, Dunst gained widespread recognition playing the role of vampire Claudia in Interview with the Vampire (1994), a performance for which she was nominated for a Golden Globe Award for Best Supporting Actress.  The same year she appeared in Little Women, to further acclaim...",1982-04-30,"Point Pleasant, New Jersey, USA",,379,Kirsten Dunst,https://image.tmdb.org/t/p/w440_and_h660_face/5dI5s8Oq2Ook5PFzTWMW6DCXVjm.jpg,https://themoviedb.org/person/205
206,"James Eugene ""Jim"" Carrey is a Canadian-American actor, comedian, singer and writer.  He has received two Golden Globe Awards and has also been nominated on four occasions. 

Carrey began stand-up comedy in 1979, performing at Yuk Yuk's in Toronto, Ontario.  After gaining prominence in 1981, he began working at The Comedy Store in Los Angeles where he was soon noticed by comedian Rodney Dangerfield, who immediately signed him to open his tour performances...",1962-01-17,"Newmarket, Ontario, Canada",,120,Jim Carrey,https://image.tmdb.org/t/p/w440_and_h660_face/ienbErTKd9RHCV1j7FJLNEWUAzn.jpg,https://themoviedb.org/person/206
207,"Thomas Geoffrey ""Tom"" Wilkinson, OBE is an English actor.  He has twice been nominated for an Academy Award for his roles in In The Bedroom and Michael Clayton.  In 2009, he won The Golden Globe and Primetime Emmy Award for best Supporting Actor in a Miniseries or Movie for John Adams...",1948-02-05,"Leeds, West Yorkshire, England, UK",,929489,Tom Wilkinson,https://image.tmdb.org/t/p/w440_and_h660_face/d5yLk0PK8q7EKR3E3G2txO758IW.jpg,https://themoviedb.org/person/207
228,"Ed Harris is an American stage, film and television actor, writer, producer and director, best known for playing supporting characters in feature films such as ""Apollo 13"", ""A Beautiful Mind"", and ""The Truman Show"", as well as many recurring and starring roles in television shows, among them the portrayal of The Man in Black in HBO's ""Westworld"".  He holds a BFA in Drama from the California Institute of the Arts, Valencia, USA...",1950-11-28,"Englewood, New Jersey, USA",,438,Ed Harris,https://image.tmdb.org/t/p/w440_and_h660_face/kUbUA70WPiosPT4kBJMWtGk0ASd.jpg,https://themoviedb.org/person/228
280,"Terrence Vance ""Terry"" Gilliam is an American-British screenwriter, film director, animator, actor and member of the Monty Python comedy troupe.  Gilliam is also known for directing several films, including Time Bandits (1981), Brazil (1985), The Adventures of Baron Munchausen (1988), The Fisher King (1991), 12 Monkeys (1995), Fear and Loathing in Las Vegas (1998) and The Imaginarium of Doctor Parnassus (2009).  He is the only ""Python"" not born in Britain; he took British citizenship in 1968...",1940-11-22,"Minneapolis, Minnesota, USA",,416,Terry Gilliam,https://image.tmdb.org/t/p/w440_and_h660_face/dnI56oXeTBmNgj6ibnUqoHvmau6.jpg,https://themoviedb.org/person/280
287,"William Bradley Pitt (born December 18, 1963) is an American actor and film producer.  He has received multiple awards, including two Golden Globe Awards and an Academy Award for his acting, in addition to another Academy Award and a Primetime Emmy Award as producer under his production company, Plan B Entertainment. 

Pitt first gained recognition as a cowboy hitchhiker in the road movie Thelma & Louise (1991)...",1963-12-18,"Shawnee, Oklahoma, USA",,93,Brad Pitt,https://image.tmdb.org/t/p/w440_and_h660_face/cckcYc2v0yh1tc9QjRelptcOBko.jpg,https://themoviedb.org/person/287
288,"Jonathan Seda (born October 14, 1970) is an American actor of Puerto Rican descent, possibly best known for his role as Detective Paul Falsone on NBC's: Homicide: Life on the Street.  Seda was an amateur boxer who in 1992, auditioned for and was given a role in the film Gladiator.  He became interested in acting and appeared in various films.  He portrayed Chris Pérez alongside Jennifer Lopez in Selena and became widely known to both the Hispanic and non-Hispanic communities...",1970-10-14,Manhattan - New York City - New York - USA,,781218,Jon Seda,https://image.tmdb.org/t/p/w440_and_h660_face/hGDXJKzXGPulVmxWBxyzrTY4RT4.jpg,https://themoviedb.org/person/288
328,"Was an American actress and singer.  Born in New Jersey, Murphy moved to Los Angeles at the age of 14 with her mother Sharon, in the hopes of landing acting roles.  She quickly landed spots in commercials and guest starring roles on television, and appeared as a series regular on two short-lived family sitcoms, Drexell's Class and Almost Home...",1977-11-10,"Atlanta, Georgia, USA",2009-12-20,5261,Brittany Murphy,https://image.tmdb.org/t/p/w440_and_h660_face/9vjgU9EcHXYyh6Vc4nmpoPVNqsQ.jpg,https://themoviedb.org/person/328
378,"Jonathan Pryce, CBE (born 1 June 1947) is a Welsh stage and film actor and singer. 

After studying at the Royal Academy of Dramatic Art and meeting his long time partner, English actress Kate Fahy, in 1974, he began his career as a stage actor in the 1970s.  His work in theatre, including an award-winning performance in the title role of the Royal Court Theatre's ""Hamlet"", led to several supporting roles in film and television...",1947-06-01,"Carmel, Flintshire, Reino Unido",,596,Jonathan Pryce,https://image.tmdb.org/t/p/w440_and_h660_face/zwSv5uXzPTtmitFe39UdqnVwmdL.jpg,https://themoviedb.org/person/378
380,"Robert De Niro, Jr.  (born August 17, 1943) is an American actor, director, and producer. 

His first major film role was in 1973's Bang the Drum Slowly.  In 1974, he played the young Vito Corleone in The Godfather Part II, a role that won him the Academy Award for Best Supporting Actor.  His longtime collaboration with Martin Scorsese began with 1973's Mean Streets, and earned De Niro an Academy Award for Best Actor for his portrayal of Jake LaMotta in the 1980 film, Raging Bull...",1943-08-17,"Greenwich Village, New York City, New York, USA",,134,Robert De Niro,https://image.tmdb.org/t/p/w440_and_h660_face/cT8htcckIuyI1Lqwt1CvD02ynTh.jpg,https://themoviedb.org/person/380
382,"From Wikipedia, the free encyclopedia

Robert William ""Bob"" Hoskins, Jr.  (born 26 October 1942 – 29 April 2014) is an English actor, known for playing Cockney rough diamonds, psychopaths and gangsters, in films such as The Long Good Friday (1980), and Mona Lisa (1986), and lighter roles in Who Framed Roger Rabbit (1988) and Hook (1991)...",1942-10-26,"Bury St. Edmunds, Suffolk, England, UK",2014-04-29,1364,Bob Hoskins,https://image.tmdb.org/t/p/w440_and_h660_face/i6urQzI3HG4WpGJLnDNbWbn13Mb.jpg,https://themoviedb.org/person/382
388,"One of England's most versatile character actors, Jim Broadbent was born on May 24, 1949, in Lincolnshire, the youngest son of furniture maker Roy Broadbent and sculptress Dee Broadbent.  Jim attended a Quaker boarding school in Reading before successfully applying for a place at an art school.  His heart was in acting, though, and he would later transfer to the London Academy of Music and Dramatic Art (LAMDA)...",1949-05-24,"Lincoln, Lincolnshire, England, UK",,980,Jim Broadbent,https://image.tmdb.org/t/p/w440_and_h660_face/2aiaMmDXEbzSkevEI3iVKLuWeCt.jpg,https://themoviedb.org/person/388
504,"Timothy Francis Robbins (born October 16, 1958) is an American actor, screenwriter, director, producer, and musician.  He is best known for his portrayal of Andy Dufresne in the prison drama film The Shawshank Redemption (1994)...",1958-10-16,"West Covina, California, USA",,209,Tim Robbins,https://image.tmdb.org/t/p/w440_and_h660_face/hsCu1JUzQQ4pl7uFxAVFLOs9yHh.jpg,https://themoviedb.org/person/504
514,"John Joseph ""Jack"" Nicholson (born April 22, 1937) is an American actor, film director, producer and writer.  He is renowned for his often dark-themed portrayals of neurotic characters.  Nicholson has been nominated for Academy Awards 12 times.  He has won the Academy Award for Best Actor twice, for One Flew Over the Cuckoo's Nest and for As Good as It Gets.  He won the Academy Award for Best Supporting Actor for the 1983 film Terms of Endearment...",1937-04-22,"Manhattan, New York, USA",,197,Jack Nicholson,https://image.tmdb.org/t/p/w440_and_h660_face/uZyV6vZ9Ubipw89woZzY7dBaEPz.jpg,https://themoviedb.org/person/514
516,"An American film and television actress.  She's a four-time Academy Awards nominee for her roles in the feature films The Grifters, American Beauty, Being Julia and The Kids Are All Right, winning Golden Globe Awards for the latter two films...",1958-05-29,"Topeka, Kansas, USA",,906,Annette Bening,https://image.tmdb.org/t/p/w440_and_h660_face/vVAvoiE6FQ4couqaB0ogaHR6Ef7.jpg,https://themoviedb.org/person/516
517,"Pierce Brendan Brosnan, OBE (16 May 1953) is an Irish actor, film producer and environmentalist who holds Irish and American citizenship. 

After leaving school at 16, Brosnan began training in commercial illustration, but trained at the Drama Centre in London for three years.  Following a stage acting career he rose to popularity in the television series Remington Steele (1982–87).  After Remington Steele, Brosnan took the lead in many films such as Dante's Peak and The Thomas Crown Affair...",1953-05-16,"Navan, County Meath, Ireland",,112,Pierce Brosnan,https://image.tmdb.org/t/p/w440_and_h660_face/dzXVwwJLPwiZeXOnf7YxorqVEEM.jpg,https://themoviedb.org/person/517
518,"Danny DeVito (born November 17, 1944) is an American actor, comedian, director, and producer.  He first gained prominence for his portrayal of Louie De Palma on Taxi, for which he won a Golden Globe and an Emmy. 

DeVito founded the production company Jersey Films with his wife Rhea Perlman...",1944-11-17,"Asbury Park, New Jersey, USA",,362,Danny DeVito,https://image.tmdb.org/t/p/w440_and_h660_face/gNHF2SNXFFCRqwIQ2Xv6r6aV6UD.jpg,https://themoviedb.org/person/518
519,"From Wikipedia, the free encyclopedia. 

Martin Hayter Short, CM (born March 26, 1950) is a Canadian comedian, actor, writer, singer and producer.  He is best known for his comedy work, particularly on the TV programs SCTV and Saturday Night Live.  He has also starred in many popular comedic films such as Three Amigos, Innerspace, Pure Luck, Jungle 2 Jungle, Mars Attacks!, Father of the Bride, and Father of the Bride Part 2...",1950-03-26,"Hamilton, Ontario, Canada",,1737,Martin Short,https://image.tmdb.org/t/p/w440_and_h660_face/3bNEYDwMWrJeOpX1huLlKK48QnO.jpg,https://themoviedb.org/person/519
521,"Born Michael Andrew Fox in Edmonton, Alberta, Canada, he adopted the ""J"" as an homage to character actor Michael J.  Pollard.  Moving several times during the course of his childhood, Michael and his family settled in Burnaby, a suburb of Vancouver.  At the age of 15 he made his professional acting debut in the situation comedy ""Leo and Me"" (1981). 

Moving to Los Angeles at the age of 18, Fox appeared in several small parts and a television series, ""Palmerstown, U. S. A...",1961-06-09,"Edmonton, Alberta, Canada",,150,Michael J. Fox,https://image.tmdb.org/t/p/w440_and_h660_face/2JB4FMgQmnhbBlQ4SxWFN9EIVDi.jpg,https://themoviedb.org/person/521
578,"Scott was born in South Shields, Tyne and Wear, England, the son of Elizabeth and Colonel Francis Percy Scott.  He was raised in an Army family, meaning that for most of his early life, his father — an officer in the Royal Engineers — was absent.  Ridley's older brother, Frank, joined the Merchant Navy when he was still young and the pair had little contact.  During this time the family moved around, living in (among other areas) Cumbria, Wales and Germany...",1937-11-30,"South Shields, County Durham, England, UK",,631,Ridley Scott,https://image.tmdb.org/t/p/w440_and_h660_face/zABJmN9opmqD4orWl3KSdCaSo7Q.jpg,https://themoviedb.org/person/578
607,"Zhang Yimou (born November 14, 1950 or 1951)  is a Chinese film director, producer, writer and actor, and former cinematographer.  He is counted amongst the Fifth Generation of Chinese filmmakers, having made his directorial debut in 1987 with Red Sorghum...",1951-11-14,"Xi'an, Shaanxi, China",,955443,Yimou Zhang,https://image.tmdb.org/t/p/w440_and_h660_face/uU5vECl94jDQYjiRk4eOpVRMEi9.jpg,https://themoviedb.org/person/607
638,"Michael Kenneth Mann (born February 5, 1943) is an American film director, screenwriter, and producer.  For his work, he has received nominations from international organizations and juries, including those at the British Academy of Film and Television Arts, Cannes and the Academy of Motion Picture Arts and Sciences.  He has produced the Academy Awards ceremony twice, first in 1999 with the 72nd annual Academy Awards and second in 2004 with the 77th annual ceremony...",1943-02-05,"Chicago, Illinois, USA",,520,Michael Mann,https://image.tmdb.org/t/p/w440_and_h660_face/zaiiWgIyO1mbftNF1yQxHDLsZFE.jpg,https://themoviedb.org/person/638
643,"From Wikipedia, the free encyclopedia

Gong Li (born 31 December 1965) is a Chinese-born Singaporean film actress.  Gong first came into international prominence through close collaboration with Chinese director Zhang Yimou and is credited with helping bring Chinese cinema to Europe and the United States...",1965-12-31,"Shenyang, Liaoning Province, China",,84,Gong Li,https://image.tmdb.org/t/p/w440_and_h660_face/uP3Fs3QUsGBxhNqGFWMnN1Z2l8z.jpg,https://themoviedb.org/person/643
689,"Kate Capshaw  (born November 3, 1953) is an American actress.  She is known for her role as Willie Scott in Indiana Jones and the Temple of Doom...",1953-11-03,"Fort Worth, Texas, USA",,1009,Kate Capshaw,https://image.tmdb.org/t/p/w440_and_h660_face/379hIr71jb3pk9Zd1hEeVaeNdlM.jpg,https://themoviedb.org/person/689
776,"Edward ""Eddie"" Regan Murphy (born April 3, 1961) is an American actor, voice actor, film director, producer, comedian and singer. 

He is the second-highest grossing actor in motion picture history.  He was a regular cast member on Saturday Night Live from 1980 to 1984, and has worked as a stand-up comedian.  He was ranked #10 on Comedy Central's list of the 100 Greatest Stand-ups of All Time...",1961-04-03,"Brooklyn, New York, USA",,552,Eddie Murphy,https://image.tmdb.org/t/p/w440_and_h660_face/qgjMfefsKwSYsyCaIX46uyOXIpy.jpg,https://themoviedb.org/person/776
782,"From Wikipedia, the free encyclopedia.   

Steven Berkoff (born 3 August 1937) is an English actor, writer and director. Best known for his performance as General Orlov in the James Bond film Octopussy, he is typically cast in villanous roles, such as Lt.  Col Podovsky in Rambo: First Blood Part II, Victor Maitland in Beverly Hills Cop, and Adolf Hitler in epic mini-series War and Remembrance...",1937-08-03,,,925,Steven Berkoff,https://image.tmdb.org/t/p/w440_and_h660_face/pNVdTLSFxPY9Jq2MkYRhkLgAATp.jpg,https://themoviedb.org/person/782
1004,"From Wikipedia, the free encyclopedia

Daniel Louis Aiello Jr.  (June 20, 1933 – December 12, 2019) was an American actor who appeared in numerous motion pictures, including The Godfather Part II (1974), The Front (1976), Once Upon a Time in America (1984), The Purple Rose of Cairo (1985), Moonstruck (1987), Harlem Nights (1989), Hudson Hawk (1991), Ruby (1992), Léon: The Professional (1994), 2 Days in the Valley (1996), Dinner Rush (2000), and Lucky Number Slevin (2006)...",1933-06-20,"Manhattan, New York City, New York, USA",2019-12-12,732,Danny Aiello,https://image.tmdb.org/t/p/w440_and_h660_face/vl71InQaqL3khAPJrvUjsxtynVP.jpg,https://themoviedb.org/person/1004
1032,"American film director, screenwriter, producer, actor, and film historian Martin Marcantonio Luciano Scorsese made the short films while he attended New York University's film school; these include “What's a Nice Girl Like You Doing in a Place Like This?” (1963), “It's Not Just You, Murray!” (1964), and his most famous short of the period “The Big Shave” (1967).  This came shortly after seriously considering entering into priesthood...",1942-11-17,"Queens, New York, USA",,217,Martin Scorsese,https://image.tmdb.org/t/p/w440_and_h660_face/9U9Y5GQuWX3EZy39B8nkk4NY01S.jpg,https://themoviedb.org/person/1032
1037,"An American actor.  Some of his more notable starring roles were in Martin Scorsese's Mean Streets and Taxi Driver, Ridley Scott's The Duellists and Thelma and Louise, Quentin Tarantino's Reservoir Dogs and Pulp Fiction, Jane Campion's The Piano, Abel Ferrara's Bad Lieutenant, James Mangold's Cop Land, Nicolas Roeg's Bad Timing, and Theo Angelopoulos's Ulysses' Gaze.  His latest work was as Detective Lieutenant Gene Hunt on the American adaptation of Life on Mars...",1939-05-13,"Brooklyn, New York, USA",,172,Harvey Keitel,https://image.tmdb.org/t/p/w440_and_h660_face/c1KlwOAlnFhBWfcPIvA6hmrElb6.jpg,https://themoviedb.org/person/1037
1038,"Alicia Christian ""Jodie"" Foster (born November 19, 1962) is an American actress and director.  She has received two Academy Awards, three British Academy Film Awards, two Golden Globe Awards, and the Cecil B.  DeMille Award.  For her work as a director, she has been nominated for a Primetime Emmy Award. 

Foster began her professional career as a child model when she was three years old, and she made her acting debut in 1968 in the television sitcom Mayberry R. F. D...",1962-11-19,"Los Angeles, California, USA",,149,Jodie Foster,https://image.tmdb.org/t/p/w440_and_h660_face/qAdHh0E86ZbEKqsWLgOfIYxxXHH.jpg,https://themoviedb.org/person/1038
1062,"From Wikipedia, the free encyclopedia.  Christopher Allen Lloyd (born October 22, 1938) is an American actor.  He is best known for playing Doc Brown in the Back to the Future trilogy, Uncle Fester in The Addams Family films, and Judge Doom in Who Framed Roger Rabbit.  He played Reverend Jim Ignatowski in the television series Taxi and most recently Mr.  Goodman in Piranha 3D...",1938-10-22,"Stamford, Connecticut, USA",,502,Christopher Lloyd,https://image.tmdb.org/t/p/w440_and_h660_face/nxVjpyb3UrfbPZnEyDNlQVlFAs5.jpg,https://themoviedb.org/person/1062
1121,"Benicio Monserrate Rafael del Toro Sánchez (born February 19, 1967) is a Puerto Rican actor and film producer.  His awards include the Academy Award, Golden Globe, Screen Actors Guild (SAG) Award and British Academy of Film and Television Arts (BAFTA) Award.  He is known for his roles as Fred Fenster in The Usual Suspects, Javier Rodríguez in Traffic (his Oscar-winning role), Jack 'Jackie Boy' Rafferty in Sin City, Dr...",1967-02-19,"San Germán, Puerto Rico",,1125,Benicio Del Toro,https://image.tmdb.org/t/p/w440_and_h660_face/cVh4UgCMu6aAkZ2BqymTLV86FzZ.jpg,https://themoviedb.org/person/1121
1152,"William Oliver Stone is an American film director and screenwriter.  Stone became known in the late 1980s and the early 1990s for directing a series of films about the Vietnam War, in which he had participated as an American infantry soldier.  His work frequently focuses on contemporary political and cultural issues, often controversially...",1946-09-15,"New York City, New York, USA",,231,Oliver Stone,https://image.tmdb.org/t/p/w440_and_h660_face/nPFtjueZHmU56boVKXEvAoQOTWf.jpg,https://themoviedb.org/person/1152
1158,"Alfredo James ""Al"" Pacino (born April 25, 1940) is an American film and stage actor and director.  He is famous for playing mobsters, including Michael Corleone in The Godfather trilogy, Tony Montana in Scarface, Alphonse ""Big Boy"" Caprice in Dick Tracy and Carlito Brigante in Carlito's Way, though he has also appeared several times on the other side of the law — as a police officer, detective and a lawyer...",1940-04-25,"New York City, New York, USA",,199,Al Pacino,https://image.tmdb.org/t/p/w440_and_h660_face/sLsw9Dtj4mkL8aPmCrh38Ap9Xhq.jpg,https://themoviedb.org/person/1158
1160,"Michelle Marie Pfeiffer (born April 29, 1958) is an American actress and producer.  She has received many accolades, including a Golden Globe Award, and three nominations for Academy Award. 

Pfeiffer began to pursue an acting career in 1978 and had her first leading role in the musical film Grease 2 (1982)...",1958-04-29,"Santa Ana, California, USA",,201,Michelle Pfeiffer,https://image.tmdb.org/t/p/w440_and_h660_face/oGUmQBU87QXAsnaGleYaAjAXSlj.jpg,https://themoviedb.org/person/1160
1204,"Julia Fiona Roberts (born October 28, 1967) is an American actress and producer.  She became a Hollywood star after headlining the romantic comedy Pretty Woman (1990), which grossed $464 million worldwide.  She has won three Golden Globe Awards (out of eight nominations) and has been nominated for four Academy Awards for her film acting, winning the Academy Award for Best Actress for her performance in Erin Brockovich (2000). 

Her films have collectively brought box office receipts of over US$2...",1967-10-28,"Smyrna, Georgia, USA",,210,Julia Roberts,https://image.tmdb.org/t/p/w440_and_h660_face/pahtuRDpaopvO6rH1RYS2omrO8L.jpg,https://themoviedb.org/person/1204
1206,"Jay Scott Greenspan, better known by his professional name of Jason Alexander, is an American actor, writer, comedian, television director and producer, and singer.  He is best known for his role as George Costanza on the television series Seinfeld, appearing in the sitcom from 1989 to 1998.  He also has had an active career on the stage, appearing in several Broadway musicals including Jerome Robbins' Broadway in 1989, for which he won the Tony Award as Best Actor in a Musical...",1959-09-23,Newark - New Jersey - USA,,4517,Jason Alexander,https://image.tmdb.org/t/p/w440_and_h660_face/5a34uLhhHqmeYII984EfaVBh70p.jpg,https://themoviedb.org/person/1206
1219,"Amy Marie Yasbeck (born September 12, 1962) is an American film and television actress.  She is best known for her role as Casey Chapel Davenport on Wings...",1962-09-12,"Cincinnati, Ohio, USA",,1865,Amy Yasbeck,https://image.tmdb.org/t/p/w440_and_h660_face/wDd71vFKUMJutO3fZjY2Pw0HWb.jpg,https://themoviedb.org/person/1219
1229,"American actor Jeff Bridges has starred in over 50 films during his lengthy career.  He comes from a family of performers and was introduced to show business by his father Lloyd.  Jeff is most famous for his work in the films Big Lebowski (1998), Seabiscuit (2003), Crazy Heart (2009), and most recently True Grit (2010).  His accolades include a long list of Academy Award nominations, and one win for Best Actor in 2010. 

Bridges was born in 1949 and grew up in Los Angeles, California...",1949-12-04,"Los Angeles, California, USA",,313,Jeff Bridges,https://image.tmdb.org/t/p/w440_and_h660_face/xms1RAY6q7Lzp7wNeRCB0kzhucn.jpg,https://themoviedb.org/person/1229
