movieId,title,budget,countries,movie_imdbId,imdbRating,imdbVotes,languages,plot,movie_poster,released,revenue,runtime,movie_tmdbId,movie_url,year,genres
12,Dracula: Dead and Loving It,,USA|France,112896,5.8,29321,English|German,Mel Brooks' parody of the classic vampire story and its famous film adaptations.,https://image.tmdb.org/t/p/w440_and_h660_face/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg,1995-12-22,,88,12110,https://themoviedb.org/movie/12110,1995,Comedy|Horror
13,Balto,,USA,112453,7.1,29277,English,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",https://image.tmdb.org/t/p/w440_and_h660_face/tpoaKJMRjOZl9cbZRR2aiKikyRC.jpg,1995-12-22,11348324.0,78,21032,https://themoviedb.org/movie/21032,1995,Adventure|Animation|Children
14,Nixon,44000000.0,USA,113987,7.1,23508,English|Mandarin|Russian,"A biographical story of former U.S. president Richard Milhous Nixon, from his days as a young boy to his eventual presidency which ended in shame.",https://image.tmdb.org/t/p/w440_and_h660_face/ORlTkdDwWU94O16MlwfIR4g5Hk.jpg,1996-01-05,13681765.0,192,10858,https://themoviedb.org/movie/10858,1995,Drama
15,Cutthroat Island,98000000.0,USA|France|Italy|Germany,112760,5.6,20522,English,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,https://image.tmdb.org/t/p/w440_and_h660_face/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg,1995-12-22,10017322.0,124,1408,https://themoviedb.org/movie/1408,1995,Adventure|Romance|Action
16,Casino,52000000.0,USA|France,112641,8.2,320118,English,"Greed, deception, money, power, and murder occur between two mobster best friends and a trophy wife over a gambling empire.",https://image.tmdb.org/t/p/w440_and_h660_face/4TS5O1IP42bY2BvgMxL156EENy.jpg,1995-11-22,116112375.0,178,524,https://themoviedb.org/movie/524,1995,Drama|Crime
17,Sense and Sensibility,16000000.0,USA|UK,114388,7.7,76082,English|French,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the titular opposites.",https://image.tmdb.org/t/p/w440_and_h660_face/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg,1996-01-26,134582776.0,136,4584,https://themoviedb.org/movie/4584,1995,Romance|Drama
18,Four Rooms,4000000.0,USA,113101,6.7,75952,English,Four interlocking tales that take place in a fading hotel on New Year's Eve.,https://image.tmdb.org/t/p/w440_and_h660_face/uZSmxBLIuZ8gpadjAWNdA5aQDAc.jpg,1995-12-25,4257354.0,98,5,https://themoviedb.org/movie/5,1995,Comedy
19,Ace Ventura: When Nature Calls,30000000.0,USA,112281,6.3,155200,English,"Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.",https://image.tmdb.org/t/p/w440_and_h660_face/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,1995-11-10,212385533.0,90,9273,https://themoviedb.org/movie/9273,1995,Comedy
20,Money Train,68000000.0,USA,113845,5.6,31488,English,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",https://image.tmdb.org/t/p/w440_and_h660_face/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,1995-11-22,77224232.0,110,11517,https://themoviedb.org/movie/11517,1995,Comedy|Drama|Action|Crime|Thriller
21,Get Shorty,30250000.0,USA,113161,6.9,61591,English,A mobster travels to Hollywood to collect a debt and discovers that the movie business is much the same as his current job.,https://image.tmdb.org/t/p/w440_and_h660_face/5XSVAyHmTCFOWaqEQ0LUHh3yssB.jpg,1995-10-20,115101622.0,105,8012,https://themoviedb.org/movie/8012,1995,Comedy|Crime|Thriller
22,Copycat,,USA,112722,6.6,41335,English,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,https://image.tmdb.org/t/p/w440_and_h660_face/sch1NNy1q6O50qaUG0MqoU8z9GD.jpg,1995-10-27,,123,1710,https://themoviedb.org/movie/1710,1995,Drama|Crime|Thriller|Horror|Mystery
23,Assassins,50000000.0,France|USA,112401,6.3,60996,English|Dutch|Spanish,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,https://image.tmdb.org/t/p/w440_and_h660_face/5Ldj3h0ReTsKlKLyLxaD3mW2ZIQ.jpg,1995-10-06,30303072.0,132,9691,https://themoviedb.org/movie/9691,1995,Action|Crime|Thriller
24,Powder,,USA,114168,6.5,23715,English,A young bald albino boy with unique powers shakes up the rural community he lives in.,https://image.tmdb.org/t/p/w440_and_h660_face/kImKATjY4EsK5MDgrmpJdGbQEbq.jpg,1995-10-27,,111,12665,https://themoviedb.org/movie/12665,1995,Drama|Sci-Fi
25,Leaving Las Vegas,3600000.0,USA,113627,7.6,91469,English|Russian,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",https://image.tmdb.org/t/p/w440_and_h660_face/rl5ROyXACDkiSbO6PnKK6Onnw26.jpg,1996-02-09,49800000.0,111,451,https://themoviedb.org/movie/451,1995,Romance|Drama
26,Othello,,USA|UK,114057,7.0,7241,English,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,https://image.tmdb.org/t/p/w440_and_h660_face/6u14UkDVPUVquXkZ5Hgb7UIEvUE.jpg,1996-01-19,,123,16420,https://themoviedb.org/movie/16420,1995,Drama
27,Now and Then,12000000.0,USA,114011,6.7,21002,English,Four 12-year-old girls grow up together during an eventful small-town summer in 1970.,https://image.tmdb.org/t/p/w440_and_h660_face/yQ8xP1WOfatqgUp4e3X8n73itJc.jpg,1995-10-20,27400000.0,100,9263,https://themoviedb.org/movie/9263,1995,Children|Drama
28,Persuasion,,UK|USA|France,114117,7.7,8758,English,"Eight years earlier, Anne Elliot, the daughter of a financially troubled aristocratic family, was persuaded to break off her engagement to Frederick Wentworth, a young seaman, who, though ...",https://image.tmdb.org/t/p/w440_and_h660_face/tYOFCtgLb4hfuwhXKBWwAobWhwS.jpg,1995-09-27,,107,17015,https://themoviedb.org/movie/17015,1995,Romance|Drama
29,"City of Lost Children, The (Cité des enfants perdus, La)",18000000.0,France|Germany|Spain,112682,7.7,54490,French|Cantonese,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",https://image.tmdb.org/t/p/w440_and_h660_face/xQrp6wxaNMXVd259235d1X0LBsw.jpg,1995-12-15,1738611.0,112,902,https://themoviedb.org/movie/902,1995,Adventure|Fantasy|Drama|Mystery|Sci-Fi
30,Shanghai Triad (Yao a yao yao dao waipo qiao),2300000.0,France|China,115012,7.2,4140,Mandarin,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,https://image.tmdb.org/t/p/w440_and_h660_face/tzG1UxUSfPACREjgBrsPDRUvneH.jpg,1995-12-22,,108,37557,https://themoviedb.org/movie/37557,1995,Drama|Crime
31,Dangerous Minds,23000000.0,USA,112792,6.4,37045,English,An ex-Marine turned teacher struggles to connect with her students in an inner city school.,https://image.tmdb.org/t/p/w440_and_h660_face/y2iKziYm1rG5AWfL3el7HgxhoIp.jpg,1995-08-11,179519401.0,99,9909,https://themoviedb.org/movie/9909,1995,Drama
32,Twelve Monkeys (a.k.a. 12 Monkeys),29500000.0,USA,114746,8.1,446779,English|French,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",https://image.tmdb.org/t/p/w440_and_h660_face/kKoG0hXBmBbkDnJYhhHisdin73W.jpg,1996-01-05,168840000.0,129,63,https://themoviedb.org/movie/63,1995,Thriller|Mystery|Sci-Fi
34,Babe,30000000.0,Australia|USA,112431,6.8,91870,English,"Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.",https://image.tmdb.org/t/p/w440_and_h660_face/bjDIp0b5TQRx4kF8l9TKeUANLTp.jpg,1995-08-04,254134910.0,91,9598,https://themoviedb.org/movie/9598,1995,Children|Drama
35,Carrington,,UK|France,112637,6.9,4351,English,The platonic relationship between artist Dora Carrington and writer Lytton Strachey in the early 20th century.,https://image.tmdb.org/t/p/w440_and_h660_face/8NmeBTkC4UQa8XT2GGsBN2R8Bqo.jpg,1995-11-10,,121,47018,https://themoviedb.org/movie/47018,1995,Romance|Drama
36,Dead Man Walking,11000000.0,UK|USA,112818,7.6,71231,English,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",https://image.tmdb.org/t/p/w440_and_h660_face/wQmmJi5ypfHH2boXrQBmsep7qb2.jpg,1996-02-02,39363635.0,122,687,https://themoviedb.org/movie/687,1995,Drama|Crime
37,Across the Sea of Time,,USA,112286,6.6,203,English|Russian,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all ...",,1995-10-20,16015639.0,51,139405,https://themoviedb.org/movie/139405,1995,Documentary|IMAX
38,It Takes Two,,USA,113442,5.7,14602,English,"Alyssa (a rich girl) and Amanda (an orphan) are two little girls who are identical, but complete strangers, that accidentally meet one day. In an attempt to stop Alyssa's father from ...",https://image.tmdb.org/t/p/w440_and_h660_face/sdes5TrRbymELYLG85YIxmFb1OP.jpg,1995-11-17,,101,33689,https://themoviedb.org/movie/33689,1995,Children|Comedy
39,Clueless,12000000.0,USA,112697,6.8,116376,English|Spanish,"A rich high school student tries to boost a new pupil's popularity, but reckons without affairs of the heart getting in the way.",https://image.tmdb.org/t/p/w440_and_h660_face/71RW4lkES2Dt7vSLSXvekGYNskG.jpg,1995-07-19,56631572.0,97,9603,https://themoviedb.org/movie/9603,1995,Comedy|Romance
40,"Cry, the Beloved Country",,South Africa|USA,112749,6.9,1399,English,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,https://image.tmdb.org/t/p/w440_and_h660_face/kGPsBswFOCjiGzXq4OZwzEAAODa.jpg,1995-12-15,676525.0,106,34615,https://themoviedb.org/movie/34615,1995,Drama
41,Richard III,,UK|USA,114279,7.5,11297,English,The classic Shakespearean play about a murderously scheming king staged in an alternative fascist England setting.,https://image.tmdb.org/t/p/w440_and_h660_face/aN2BcIH6rvGbYiRQCS8lxOdeeVQ.jpg,1995-12-29,2748518.0,104,31174,https://themoviedb.org/movie/31174,1995,Drama|War
42,Dead Presidents,10000000.0,USA,112819,6.8,14749,English,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.",https://image.tmdb.org/t/p/w440_and_h660_face/gCqfjRQtBugpmbkBrmGzCLSJo3m.jpg,1995-10-06,24147179.0,119,11443,https://themoviedb.org/movie/11443,1995,Drama|Action|Crime
43,Restoration,19000000.0,USA|UK,114272,6.7,7423,English|Latin,"The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.",https://image.tmdb.org/t/p/w440_and_h660_face/wkf0z1GSbVXrGvUpT5ApBNA4VEW.jpg,1996-02-02,,117,35196,https://themoviedb.org/movie/35196,1995,Drama
44,Mortal Kombat,18000000.0,USA,113855,5.8,79687,English,Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.,https://image.tmdb.org/t/p/w440_and_h660_face/fcK7tzSSXMYiMN8E9KlZJL1BYyp.jpg,1995-08-18,122195920.0,101,9312,https://themoviedb.org/movie/9312,1995,Adventure|Fantasy|Action
45,To Die For,20000000.0,USA|UK|Canada,114681,6.8,33928,English,"Suzanne Stone is an aspiring TV personality who will do anything to be in the spotlight, including enlisting three teenagers to kill her husband.",https://image.tmdb.org/t/p/w440_and_h660_face/aedhsShrlJVhLlwhtlmFJgR4Szs.jpg,1995-10-06,21284514.0,106,577,https://themoviedb.org/movie/577,1995,Comedy|Drama|Thriller
46,How to Make an American Quilt,10000000.0,USA,113347,6.2,8258,English,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,https://image.tmdb.org/t/p/w440_and_h660_face/vwYRaERccwXWCYrTzeWRZRarJOo.jpg,1995-10-06,23574130.0,109,11861,https://themoviedb.org/movie/11861,1995,Romance|Drama
47,Seven (a.k.a. Se7en),33000000.0,USA,114369,8.6,981458,English,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his modus operandi.",https://image.tmdb.org/t/p/w440_and_h660_face/6yoghtyTpznpBik8EngEmJskVUO.jpg,1995-09-22,327311859.0,127,807,https://themoviedb.org/movie/807,1995,Thriller|Mystery
48,Pocahontas,55000000.0,USA,114148,6.6,113939,English|Algonquin,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth-century Virginia.,https://image.tmdb.org/t/p/w440_and_h660_face/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg,1995-06-23,346079773.0,81,10530,https://themoviedb.org/movie/10530,1995,Animation|Children|Romance|Drama|Musical
49,When Night Is Falling,,Canada,114916,6.8,5192,English,"An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.",https://image.tmdb.org/t/p/w440_and_h660_face/f9edMkT6bLXVvZICn47ARnQ1Iu5.jpg,1995-11-17,,94,8391,https://themoviedb.org/movie/8391,1995,Romance|Drama
50,"Usual Suspects, The",6000000.0,USA|Germany,114814,8.6,711361,English|Hungarian|Spanish|French,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which begin when five criminals meet at a seemingly random police lineup.",https://image.tmdb.org/t/p/w440_and_h660_face/d2IalvQ6eaEAsLVTFUEHf6roHEk.jpg,1995-09-15,23341568.0,106,629,https://themoviedb.org/movie/629,1995,Crime|Thriller|Mystery
52,Mighty Aphrodite,15000000.0,USA,113819,7.1,30824,English,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a prostitute.",https://image.tmdb.org/t/p/w440_and_h660_face/m0MZabFBNtMuFn3oNcq45M1Jws3.jpg,1995-11-10,6700000.0,95,11448,https://themoviedb.org/movie/11448,1995,Comedy|Romance|Drama
53,Lamerica,,Italy|France|Switzerland,110299,7.6,1714,Albanian|Italian,Two Italian racketeers come to Albania just after the fall of the communists to set up a fictive firm and pocket the grants. They need a stooge. They choose an old one in a jail : Spiro. ...,https://image.tmdb.org/t/p/w440_and_h660_face/1oeLiGLbjXi32ZPIrzTrYIsKFd5.jpg,1995-10-04,,116,49133,https://themoviedb.org/movie/49133,1994,Adventure|Drama
54,"Big Green, The",,USA,112499,5.4,6671,English,"Another Disney underdog sports team of misfit kids (soccer this time) learns to play a new sport and become champions, while building self-esteem, making friends and solving a variety of ...",https://image.tmdb.org/t/p/w440_and_h660_face/kbJqLMRUoVmNkQ4VgAtDwGis2dJ.jpg,1995-09-29,,100,26441,https://themoviedb.org/movie/26441,1995,Children|Comedy
55,Georgia,,USA|France,113158,6.4,2307,English|Hebrew,"Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Sadie wants to be a famous artist like her sister, but is always doing everything wrong. Her ...",https://image.tmdb.org/t/p/w440_and_h660_face/uXjfK404xo7SiVlFcAoRyaFqXR4.jpg,1995-12-08,,115,97406,https://themoviedb.org/movie/97406,1995,Drama
57,Home for the Holidays,,USA,113321,6.6,8945,English,"After losing her job, making out with her soon-to-be former boss and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.",https://image.tmdb.org/t/p/w440_and_h660_face/a8MslR6deQQVe8JR542XDSwHiPB.jpg,1995-11-03,17519169.0,103,9089,https://themoviedb.org/movie/9089,1995,Drama
58,"Postman, The (Postino, Il)",,Italy|France|Belgium,110877,7.8,25355,Italian|Spanish,Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.,https://image.tmdb.org/t/p/w440_and_h660_face/zqK1rE4gpDvEn612HeJF4EnoYCG.jpg,1996-03-22,,108,11010,https://themoviedb.org/movie/11010,1994,Comedy|Romance|Drama
59,"Confessional, The (Confessionnal, Le)",,Canada|UK|France,112714,7.6,1347,French|English,"The year is 1952, in Quebec City. Rachel, 16, unmarried, and pregnant, works in the church. Filled with shame, she unburdens her guilt to a young priest, under the confidentiality of the ...",https://image.tmdb.org/t/p/w440_and_h660_face/9ApR0PwQdlnvc76NmlbUWkeAK9i.jpg,1996-08-16,,100,99040,https://themoviedb.org/movie/99040,1995,Drama|Mystery
60,"Indian in the Cupboard, The",45000000.0,USA,113419,5.9,20201,English,On his ninth birthday a boy receives many presents. Two of them first seem to be less important: an old cupboard from his brother and a little Indian figure made of plastic from his best ...,https://image.tmdb.org/t/p/w440_and_h660_face/6jxwjs285L16lO3XAX7FzfQpREb.jpg,1995-07-14,,96,11359,https://themoviedb.org/movie/11359,1995,Adventure|Children|Fantasy
61,Eye for an Eye,20000000.0,USA,116260,6.1,9441,English|French|Spanish|Korean,"When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.",https://image.tmdb.org/t/p/w440_and_h660_face/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg,1996-01-12,26877589.0,101,17182,https://themoviedb.org/movie/17182,1996,Drama|Thriller
62,Mr. Holland's Opus,23000000.0,USA,113862,7.3,29633,English|American Sign Language,A frustrated composer finds fulfillment as a high school music teacher.,https://image.tmdb.org/t/p/w440_and_h660_face/kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg,1996-01-19,106269971.0,143,2054,https://themoviedb.org/movie/2054,1995,Drama
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,,USA,116126,6.6,37036,English|Spanish,"Don't Be a Menace to South Central While Drinking your Juice in the Hood is a parody of several U.S. films about being in the 'Hood', for instance Boyz n the Hood, South Central, ...",https://image.tmdb.org/t/p/w440_and_h660_face/HZQBF7JDd2e9p4rPSbSHuWHaCC.jpg,1996-01-12,,89,10607,https://themoviedb.org/movie/10607,1996,Comedy|Crime
64,Two if by Sea,,USA,118002,5.2,4448,English,"Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that _last_ job, which involves stealing a valuable painting. ...",https://image.tmdb.org/t/p/w440_and_h660_face/kvQl6sJyplWRQ0BGp0E8kBUQKO8.jpg,1996-01-12,10658278.0,96,19760,https://themoviedb.org/movie/19760,1996,Comedy|Romance
65,Bio-Dome,15000000.0,USA,115683,4.3,21048,English,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",https://image.tmdb.org/t/p/w440_and_h660_face/pjSkGZAvksrbO6tGain8PJ3rfC7.jpg,1996-01-12,,88,9536,https://themoviedb.org/movie/9536,1996,Comedy
66,Lawnmower Man 2: Beyond Cyberspace,,USA,116839,2.4,7798,English,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and ...",https://image.tmdb.org/t/p/w440_and_h660_face/2Zp26DfI6pTqiyHUkL7bMjv28tG.jpg,1996-01-12,2409225.0,93,11525,https://themoviedb.org/movie/11525,1996,Action|Thriller|Sci-Fi
68,French Twist (Gazon maudit),,France,113149,6.4,3674,French|Spanish,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",https://image.tmdb.org/t/p/w440_and_h660_face/5WhBRgimR7mHiB4oSmXDPXzn81j.jpg,1996-01-19,,104,4482,https://themoviedb.org/movie/4482,1995,Comedy|Romance
69,Friday,3500000.0,USA,113118,7.3,71667,English,"Two homies, Smokey and Craig, smoke a dope dealer's weed and try to figure a way to get the $200 they owe to the dealer by ten p.m. that same night. In that time, they smoke more weed, get jacked, and they get shot at in a drive-by.",https://image.tmdb.org/t/p/w440_and_h660_face/kvtBMDc67NShviLR0AyjWklT8VW.jpg,1995-04-26,28215918.0,91,10634,https://themoviedb.org/movie/10634,1995,Comedy
70,From Dusk Till Dawn,19000000.0,USA,116367,7.3,212165,English|Spanish,"Two criminals and their hostages unknowingly seek temporary refuge in an establishment populated by vampires, with chaotic results.",https://image.tmdb.org/t/p/w440_and_h660_face/sV3kIAmvJ9tPz4Lq5fuf9LLMxte.jpg,1996-01-19,25836616.0,108,755,https://themoviedb.org/movie/755,1996,Comedy|Action|Thriller|Horror
71,Fair Game,50000000.0,USA,113010,4.1,9973,English|Russian,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.",https://image.tmdb.org/t/p/w440_and_h660_face/sLmQMGJXQI4zakDTqq7J0d9nCU3.jpg,1995-11-03,11534477.0,91,11859,https://themoviedb.org/movie/11859,1995,Action
72,Kicking and Screaming,,USA,113537,7.1,6885,English,"Following graduation, a handful of college students do nothing and talk about it wittily.",https://image.tmdb.org/t/p/w440_and_h660_face/186brkmaBmopqcM0dPs71tj9BfM.jpg,1995-10-06,718490.0,96,28387,https://themoviedb.org/movie/28387,1995,Comedy|Drama
73,"Misérables, Les",,France,113828,7.5,3151,French|German|English,Henri Fortin is poor and iliterate former boxer. Ziman is rich Jewish lawyer from Paris. During WWII they meet when Fortin agrees to drive Ziman's family to Switzerland. Intrigued by Victor...,https://image.tmdb.org/t/p/w440_and_h660_face/ct1T56BbeE60CsoFhUB4Qmq8kkf.jpg,1995-11-03,,175,48750,https://themoviedb.org/movie/48750,1995,Drama|War
74,Bed of Roses,,USA,115644,6.0,6660,English,"Romantic drama about a young career girl who is swept off her feet by a shy florist, who fell in love with her after one glimpse through a shadowy window.",https://image.tmdb.org/t/p/w440_and_h660_face/e0Eho8TETw1RhvX9MH9i19Xf1iM.jpg,1996-01-26,19030691.0,87,20927,https://themoviedb.org/movie/20927,1996,Romance|Drama
76,Screamers,20000000.0,Canada|USA|Japan,114367,6.4,19542,English,"(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as...",https://image.tmdb.org/t/p/w440_and_h660_face/5eD94VJwaui14lBozxRQHWhA06X.jpg,1996-01-26,5781885.0,108,9102,https://themoviedb.org/movie/9102,1995,Action|Thriller|Sci-Fi
77,Nico Icon,,Germany|USA,113973,7.3,534,English|German,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item,...",,1995-11-16,,67,124626,https://themoviedb.org/movie/124626,1995,Documentary
78,"Crossing Guard, The",,USA,112744,6.4,10337,English,Freddie Gale is a seedy jeweler who has sworn to kill the drunk driver who killed his little girl.,https://image.tmdb.org/t/p/w440_and_h660_face/otL93Cs0pHAc0pR4CF3yAY436tY.jpg,1995-11-16,,111,27526,https://themoviedb.org/movie/27526,1995,Drama|Action|Crime|Thriller
79,"Juror, The",44000000.0,USA,116731,5.6,13707,English,"When Annie Laird is selected as a juror in a big Mafia trial, she is forced by someone known as The Teacher to persuade the other jurors to vote not guilty. He threatens to kill her son...",https://image.tmdb.org/t/p/w440_and_h660_face/dZ94mKfHmYqwIOd826dF5z5aGnr.jpg,1996-02-02,22754725.0,118,9623,https://themoviedb.org/movie/9623,1996,Drama|Thriller
80,"White Balloon, The (Badkonake sefid)",,Iran,112445,7.8,4509,Persian,Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.,https://image.tmdb.org/t/p/w440_and_h660_face/bamJR4MwtQDMdWkjVAPojfwOjY4.jpg,1995-11-27,,85,46785,https://themoviedb.org/movie/46785,1995,Children|Drama
