movieId,person_tmdbId,role
70,3196,Kate Fuller
71,13021,Max Kirkpatrick
71,4443,Lieutenant Meyerson
71,782,Colonel Ilya Kazak
71,33665,Kate McQueen
72,52419,Grover
72,1052883,Professor
72,21967,Pete
72,10130,Gail
73,3829,Henri Fortin / Jean Valjean
73,35211,André Ziman
73,63895,Elise Ziman
73,141054,La fille Ziman
74,2224,Lewis Farrell
74,31140,Lisa Walker
74,16851,Danny
74,21063,Kim / Pamela Segall
76,27811,Colonel Hendricksson
76,56979,Ace Jefferson
76,56978,Jessica
76,56977,Becker
77,582020,Himself
77,2362269,null
77,109142,Herself
77,938895,Herself
78,514,Freddy Gale
78,5657,Mary
78,52,John Booth
78,32,Jojo
79,7447,Teacher
79,3416,Annie Laird
79,8256,Juliet
79,24045,Oliver Laird
80,1387299,Old Lady
80,1034640,Razieh
80,1034642,Ali
80,1034643,Mother
81,1271,null
81,5502,Easy Wind
81,1062,Pieces
81,4520,Franchise
82,13509,Thérèse
82,13507,Danielle
82,13508,Allegonde
82,13506,Antonia
83,19739,null
83,12974,Uncle Melvin
83,119598,null
83,157439,Ma Pearl
84,990400,Oona Hart
84,69697,Jake Axelrod
84,22137,Helena Mora
84,175081,Suzanne
85,14326,Eugenia Alabaster Adamson
85,5470,Matty Crompton
85,40900,William Adamson
85,55037,Sir Harald Alabaster
86,1229,"Christopher ""Skipper"" Sheldon"
86,24965,Chuck Gieg
86,47879,McCrea
86,6692,Alice Sheldon
87,1206,Robert Grant
87,6450,Mrs. Dubrow
87,4757,Lord Rutledge
87,27564,Kyle Grant
88,58198,Mike Donnelly
88,4003,Governor Tracy
88,21561,Al Donnelly
88,60950,Steve Dodds
89,4690,Mr. Smith
89,21365,Lynn Watson
89,17764,Hucy
89,85,Gene Watson
92,1204,Mary Reilly
92,47722,Mr. Poole
92,5658,Mary’s Father
92,6949,Dr. Henry Jekyll / Edward Hyde
93,776,Maximillian | Pauly | Guido
93,66554,Julius Jones
93,9780,Detective Rita Veder
93,32486,Detective Justice
94,49425,Tracy Stover
94,2876,"Tommy ""Birdman"" Rowland"
94,34485,Darian Smalls
94,11315,"Michael ""Mo"" Morris"
95,8891,Maj. Vic 'Deak' Deakins
95,2224,Capt. Riley Hale
95,20767,Terry Carmichael
95,18792,Colonel Max Wilkins
96,32357,Tom Newman
96,29859,Henry
96,13637,Margaretta
96,237613,Molly
97,1925,Vinz
97,5420,Abdel
97,5419,Saïd
97,5418,Hubert
98,30087,Be Bop
98,28848,Tommy
98,9642,Billy
98,41381,Jo
99,92032,Herself
99,92561,Narrator
99,74954,Actor/Herself
99,1144665,Herself
100,1158,Mayor John Pappas
100,3036,Deputy Mayor Kevin Calhoun
100,2233,Marybeth Cogan
100,1004,Frank Anselmo
